NRP;IPS SEMESTER GANJIL;IPS SEMESTER GENAP
3113100066;3,58;3,44
3113100090;3,72;3,4
3113100106;3,54;3,59
3113100007;3,89;3,87
3113100107;3,59;3,55
3113100003;3,4;3,7
3113100127;3,4;3,4
3113100073;3,63;3,5
3113100076;3,92;3,74
3113100074;3,9;3,8
3114100138;3,6;3,4
3114100005;3,3;3,28
3114100017;3,3;2,9
3114100092;3,2;3,2
3114100036;3,2;3,2
3114100079;3,19;3,25
3114100702;3,5;3,52
3114100049;3,54;3,5
3114100050;2,8;3,25
3114100704;3,52;3,28
3114100045;3,4;3,61
3114100019;3,6;3,3
3114100098;2,98;3,65
3114100021;2,8;3
3114100095;2,98;3,43
3115105049;2,78;3,54
3115105013;3,11;3,3
3115105058;3,3;3,3
3115100037;3,15;2,53
3115100082;3,2;3
3115105059;2,4;3,3
3115105043;3,22;3,58
3115100059;3;3,31
3115100078;2,6;3
3115100149;2,6;2,6
3115100106;3,42;2,58
3115100072;3,81;3,81
3115100089;3,44;3,44
3115100016;3,39;3,22
3115100009;3,61;3,6
3115100053;3,42;3,53
3115100085;3,2;3
3115100137;2,9;3
3115100112;3,2;3
3115100084;3,08;3,31
